Year,DOY,Mon,Day,RAIN,Tmax,Tmin,RH,WIND,SRAD,SRAD00,SRAD03,SRAD06,SRAD09,SRAD12,SRAD15,SRAD18,SRAD20
2018,241,8,29,7.52,32.18,25.89,88.29,1.93,17.46,0.0000,0.0000,0.4158,4.8500,6.6514,4.9885,0.5543,0.0000
2018,242,8,30,4.13,31.06,25.97,89.64,1.55,12.80,0.0000,0.0000,0.3048,3.5556,4.8762,3.6571,0.4063,0.0000
2018,243,8,31,10.24,32.20,26.30,88.99,1.43,18.70,0.0000,0.0000,0.4453,5.1945,7.1238,5.3428,0.5936,0.0000
2018,244,9,1,8.60,30.42,26.09,91.46,1.94,13.88,0.0000,0.0000,0.3386,4.0624,5.6423,3.6110,0.2257,0.0000
2018,245,9,2,17.71,29.48,25.86,94.25,2.16,9.05,0.0000,0.0000,0.2208,2.6488,3.6788,2.3545,0.1472,0.0000
2018,246,9,3,5.31,30.12,25.85,90.93,1.79,12.71,0.0000,0.0000,0.3101,3.7200,5.1666,3.3067,0.2067,0.0000
2018,247,9,4,9.11,31.82,25.62,86.54,0.81,13.26,0.0000,0.0000,0.3235,3.8810,5.3902,3.4497,0.2156,0.0000
2018,248,9,5,10.71,31.43,25.49,88.65,1.81,19.04,0.0000,0.0000,0.4645,5.5727,7.7398,4.9535,0.3096,0.0000
2018,249,9,6,21.16,30.45,25.51,91.43,4.11,8.00,0.0000,0.0000,0.1952,2.3415,3.2520,2.0813,0.1301,0.0000
2018,250,9,7,13.19,30.85,25.38,90.25,2.83,17.37,0.0000,0.0000,0.4237,5.0839,7.0609,4.5190,0.2824,0.0000
2018,251,9,8,1.79,31.83,24.98,87.47,1.88,20.14,0.0000,0.0000,0.4913,5.8946,8.1870,5.2397,0.3275,0.0000
2018,252,9,9,0.71,30.59,24.96,88.66,1.54,19.36,0.0000,0.0000,0.4723,5.6663,7.8699,5.0367,0.3148,0.0000
2018,253,9,10,3.35,31.36,25.10,87.89,1.98,18.41,0.0000,0.0000,0.4491,5.3883,7.4837,4.7896,0.2993,0.0000
2018,254,9,11,6.05,31.43,25.41,88.99,1.70,11.33,0.0000,0.0000,0.2764,3.3161,4.6057,2.9476,0.1842,0.0000
2018,255,9,12,8.25,30.48,25.87,91.25,1.52,12.16,0.0000,0.0000,0.2966,3.5590,4.9431,3.1636,0.1977,0.0000
2018,256,9,13,11.94,31.54,25.78,89.75,1.39,12.98,0.0000,0.0000,0.3166,3.7990,5.2764,3.3769,0.2111,0.0000
2018,257,9,14,4.87,30.58,25.90,87.65,1.06,16.79,0.0000,0.0000,0.4096,4.9141,6.8252,4.3681,0.2730,0.0000
2018,258,9,15,2.41,31.08,26.26,83.26,0.67,19.12,0.0000,0.0000,0.4664,5.5961,7.7723,4.9743,0.3109,0.0000
2018,259,9,16,0.39,30.90,25.46,85.47,1.01,20.53,0.0000,0.0000,0.5008,6.0088,8.3455,5.3411,0.3338,0.0000
2018,260,9,17,0.01,32.40,25.36,82.66,1.12,20.97,0.0000,0.0000,0.5115,6.1375,8.5244,5.4556,0.3410,0.0000
2018,261,9,18,0.00,31.62,25.64,84.48,1.32,21.84,0.0000,0.0000,0.5328,6.3922,8.8780,5.6819,0.3551,0.0000
2018,262,9,19,0.20,31.31,25.93,86.83,1.13,20.57,0.0000,0.0000,0.5018,6.0205,8.3618,5.3515,0.3345,0.0000
2018,263,9,20,43.04,29.26,26.37,93.61,2.58,12.98,0.0000,0.0000,0.3166,3.7990,5.2764,3.3769,0.2111,0.0000
2018,264,9,21,16.27,28.97,25.32,94.47,2.25,9.95,0.0000,0.0000,0.2427,2.9122,4.0447,2.5886,0.1618,0.0000
2018,265,9,22,5.03,30.61,25.04,87.41,0.98,15.75,0.0000,0.0000,0.3842,4.6097,6.4024,4.0975,0.2561,0.0000
2018,266,9,23,0.21,31.05,24.25,84.97,1.19,21.13,0.0000,0.0000,0.5155,6.1844,8.5894,5.4972,0.3436,0.0000
2018,267,9,24,0.05,31.02,24.71,87.18,1.59,17.06,0.0000,0.0000,0.4162,4.9931,6.9349,4.4384,0.2774,0.0000
2018,268,9,25,0.42,30.76,25.60,89.59,1.35,17.48,0.0000,0.0000,0.4264,5.1161,7.1057,4.5476,0.2842,0.0000
2018,269,9,26,1.29,31.02,25.94,85.24,0.93,14.52,0.0000,0.0000,0.3542,4.2497,5.9024,3.7775,0.2361,0.0000
2018,270,9,27,5.37,30.37,25.50,90.41,1.01,11.76,0.0000,0.0000,0.2869,3.4419,4.7805,3.0595,0.1912,0.0000
2018,271,9,28,4.26,31.29,25.12,85.23,0.69,18.81,0.0000,0.0000,0.4589,5.5053,7.6463,4.8936,0.3059,0.0000
2018,272,9,29,2.95,32.52,25.16,82.88,0.95,19.48,0.0000,0.0000,0.4752,5.7014,7.9187,5.0679,0.3167,0.0000
2018,273,9,30,0.35,32.55,24.60,81.84,1.12,19.99,0.0000,0.0000,0.4876,5.8507,8.1260,5.2006,0.3250,0.0000
2018,274,10,1,0.02,32.82,24.15,76.60,1.00,21.40,0.0000,0.0000,0.4619,6.3122,9.2373,5.2345,0.1540,0.0000
2018,275,10,2,0.00,32.37,23.63,80.23,1.28,20.88,0.0000,0.0000,0.4507,6.1589,9.0128,5.1073,0.1503,0.0000
2018,276,10,3,0.03,32.25,23.66,79.50,1.25,19.05,0.0000,0.0000,0.4112,5.6191,8.2229,4.6597,0.1371,0.0000
2018,277,10,4,0.02,32.55,23.18,75.31,1.11,20.41,0.0000,0.0000,0.4406,6.0202,8.8100,4.9923,0.1469,0.0000
2018,278,10,5,0.05,31.98,23.90,76.61,0.99,19.35,0.0000,0.0000,0.4177,5.7076,8.3524,4.7330,0.1393,0.0000
2018,279,10,6,0.01,31.92,24.57,73.25,0.91,20.48,0.0000,0.0000,0.4421,6.0409,8.8402,5.0094,0.1474,0.0000
2018,280,10,7,0.00,31.89,23.96,67.95,0.78,19.83,0.0000,0.0000,0.4281,5.8491,8.5596,4.8504,0.1427,0.0000
2018,281,10,8,0.00,31.98,24.40,70.04,0.65,20.64,0.0000,0.0000,0.4455,6.0881,8.9093,5.0486,0.1486,0.0000
2018,282,10,9,0.88,31.20,23.90,77.13,1.10,11.91,0.0000,0.0000,0.2571,3.5130,5.1409,2.9132,0.0857,0.0000
2018,283,10,10,11.18,28.10,23.42,92.02,1.94,4.98,0.0000,0.0000,0.1075,1.4689,2.1496,1.2181,0.0358,0.0000
2018,284,10,11,38.82,27.91,24.03,93.82,2.04,10.87,0.0000,0.0000,0.2346,3.2063,4.6920,2.6588,0.0782,0.0000
2018,285,10,12,11.54,29.65,23.47,88.05,1.57,6.09,0.0000,0.0000,0.1315,1.7963,2.6287,1.4896,0.0438,0.0000
2018,286,10,13,6.02,27.53,24.36,93.23,2.29,12.24,0.0000,0.0000,0.2642,3.6104,5.2834,2.9939,0.0881,0.0000
2018,287,10,14,2.86,29.44,22.92,83.72,1.64,17.96,0.0000,0.0000,0.3877,5.2976,7.7524,4.3930,0.1293,0.0000
2018,288,10,15,0.14,30.68,21.47,75.30,1.03,18.97,0.0000,0.0000,0.4095,5.5955,8.1884,4.6401,0.1365,0.0000
2018,289,10,16,0.00,30.18,21.53,73.31,0.87,19.46,0.0000,0.0000,0.4201,5.7400,8.3999,4.7599,0.1401,0.0000
2018,290,10,17,0.00,29.82,20.30,69.56,0.86,19.91,0.0000,0.0000,0.4298,5.8727,8.5941,4.8700,0.1433,0.0000
2018,291,10,18,0.03,30.55,20.61,77.70,1.17,19.36,0.0000,0.0000,0.4179,5.7105,8.3567,4.7355,0.1394,0.0000
2018,292,10,19,0.34,31.29,21.97,74.11,0.76,17.24,0.0000,0.0000,0.3721,5.0852,7.4416,4.2169,0.1241,0.0000
2018,293,10,20,0.00,31.38,23.08,69.45,0.59,18.45,0.0000,0.0000,0.3983,5.4421,7.9639,4.5129,0.1328,0.0000
2018,294,10,21,0.00,31.16,22.74,69.03,0.85,17.48,0.0000,0.0000,0.3773,5.1560,7.5452,4.2756,0.1258,0.0000
2018,295,10,22,0.00,30.85,21.39,72.99,1.02,19.08,0.0000,0.0000,0.4119,5.6279,8.2359,4.6670,0.1373,0.0000
2018,296,10,23,0.00,30.54,20.43,73.01,1.11,18.11,0.0000,0.0000,0.3909,5.3418,7.8172,4.4297,0.1304,0.0000
