,time,day,year,layer,phi_sn,phi_at,phi_ws,phi_e,T_w_t_1,H_t_1,phi_c,phi_net,H_t,T_w_t
"1",0,12,2017,1,0,1133.36307774165,2294.14182812798,26.6759057238587,53.7911198809072,113719.260366711,183.760721164644,-1371.21537727483,112348.044989436,53.1425119801551
"1",3,12,2017,1,0,1070.98101262656,2275.9908365236,22.5072922327568,53.1425119801551,112348.044989436,193.979093810681,-1421.49620994048,110926.548779496,52.4701204011684
"1",6,12,2017,1,-67.0984081330867,1011.29135541203,2257.28819276477,18.9093758377541,52.4701204011684,110926.548779496,204.125485771065,-1536.13010709465,109390.418672401,51.7435050637408
"1",9,12,2017,1,3093.70756789994,1067.76951741505,2237.20714452519,22.3040778952405,51.7435050637408,109390.418672401,187.600750839792,1714.36511205477,111104.783784456,52.5544285516776
"1",12,12,2017,1,6664.64607802756,1196.36577051953,2259.62688996476,31.3204144836908,52.5544285516776,111104.783784456,164.46942924156,5405.59511485708,116510.378899313,55.1113658190611
"1",15,12,2017,1,4034.7560472201,1261.34015449733,2331.42349285826,36.5779442588433,55.1113658190611,116510.378899313,164.588033894798,2763.50673070554,119273.885630019,56.4185509112232
"1",18,12,2017,1,-134.196816266173,1215.1000802076,2368.7821920914,32.7871820384442,56.4185509112232,119273.885630019,180.294429360312,-1500.96053954873,117772.92509047,55.7085713698598
"1",21,12,2017,1,0,1152.13545959905,2348.43607403308,28.013665034398,55.7085713698598,117772.92509047,189.537556725909,-1413.85183619434,116359.073254276,55.0397957080296
"1",0,13,2017,1,0,1109.28200662692,2329.39089696627,19.4509009473997,55.0397957080296,116359.073254276,151.794002180602,-1391.35379346736,114967.719460809,54.3816619982271
"1",3,13,2017,1,0,1050.96208642685,2310.76209848854,16.528957122251,54.3816619982271,114967.719460809,159.185005791401,-1435.51397497534,113532.205485834,53.7026397809739
"1",6,13,2017,1,-84.0716171640576,976.080431010794,2291.65938098863,13.1882389780382,53.7026397809739,113532.205485834,170.0331224339,-1582.87192855383,111949.33355728,52.9539147770442
